field,year,count
physics,05,3359
physics,06,3893
physics,07,4407
physics,08,4843
physics,09,5675
physics,10,7393
physics,11,8671
physics,12,10404
physics,13,11100
physics,96,244
physics,97,607
physics,98,855
physics,99,1042
q-bio,03,641
q-bio,04,687
q-bio,05,687
q-bio,06,751
q-bio,07,944
q-bio,08,937
q-bio,09,1037
q-bio,10,1236
q-bio,11,1413
q-bio,12,1774
q-bio,13,2323
q-fin,08,320
q-fin,09,405
q-fin,10,536
q-fin,11,581
q-fin,12,634
q-fin,13,745
quant-ph,00,1849
quant-ph,01,2268
quant-ph,02,2547
quant-ph,03,2905
quant-ph,04,3130
quant-ph,05,3392
quant-ph,06,3505
quant-ph,07,3621
quant-ph,08,3657
quant-ph,09,4065
quant-ph,10,4854
quant-ph,11,5433
quant-ph,12,5963
quant-ph,13,5942
quant-ph,94,38
quant-ph,95,433
quant-ph,96,606
quant-ph,97,857
quant-ph,98,1256
quant-ph,99,1582
stat,07,852
stat,08,1089
stat,09,1111
stat,10,1467
stat,11,2009
stat,12,3188
stat,13,3415
